NAME, MODEL1, MODEL2, MODEL3, MODEL4
Flaming Eradicator,33847,0,0,0
Flaming Orb,33853,0,0,0
Flaming Rune,1126,11686,0,0
Flaming Rune (1),1126,11686,0,0
Flaming Shield,36255,0,0,0
Flammable Tree Stalker,1126,11686,0,0
Flanis Swiftwing,20427,0,0,0
Flarecore Ember,11686,0,0,0
Flarna Flametongue,36936,0,0,0
Flash Bomb,11686,0,0,0
Flash Freeze,11686,0,0,0
Flash Freeze,25865,0,0,0
Flash Freeze,25865,0,0,0
Flash Freeze (1),25865,0,0,0
Flash Freeze (1),25865,0,0,0
Flash Freeze (1),11686,0,0,0
Flash Freeze (2),11686,0,0,0
Flash Freeze (3),11686,0,0,0
Flashback Quilboar <PH>,1274,0,0,0
Flashbang Rothman,36488,0,0,0
Flashfire,38712,0,0,0
Flashing Knobs,328,27823,0,0
Flaskataur,21471,0,0,0
Flat Rate Kobold,10913,0,0,0
Flatbeak the Loon,1062,0,0,0
Flatland Cougar,1059,0,0,0
Flatland Prowler,1056,0,0,0
Flawless Arcane Elemental,21247,0,0,0
Flawless Draenethyst Fragment,1825,0,0,0
Flawless Draenethyst Sphere,6148,0,0,0
Fledgling Brave,30575,33412,30626,33413
Fledgling Chillwind,10807,0,0,0
Fledgling Chimaera,8015,0,0,0
Fledgling Pterrordax,8410,0,0,0
Fleeing Alliance Soldier,24365,24361,24543,24538
Fleeing Alliance Soldier,24554,24542,24866,24548
Fleeing Cultist,23273,23274,0,0
Fleeing Doe,347,0,0,0
Fleeing Dreghood Geomancer,17824,0,0,0
Fleeing Dreghood Warrior,17823,0,0,0
Fleeing Horde Soldier,23864,23932,24973,24091
Fleeing Horde Soldier,23934,24230,23858,24093
Fleeing Stag,1917,0,0,0
Fleeing Zin'jatar Fathom-Stalker,31814,0,0,0
Fleep,32986,0,0,0
Fleet Master Firallon,797,0,0,0
Fleet Master Seahorn,1667,0,0,0
Fleet Master Seahorn,1667,0,0,0
Fleetfoot,1283,0,0,0
Fleetfoot Plainstrider,6076,0,0,0
Fleeting Plainstrider,1284,0,0,0
Flem Gizzix,33207,0,0,0
Flesh Behemoth,25012,0,0,0
Flesh Eater,987,0,0,0
Flesh Eating Worm,10996,0,0,0
Flesh Giant B [PH],15960,0,0,0
Flesh Golem,1693,0,0,0
Flesh Handler Viridius,19648,0,0,0
Flesh Hunter,15463,0,0,0
Flesh Ripper,15789,0,0,0
Flesh Tentacle,15793,0,0,0
Flesh-Cobbled Brute,21962,0,0,0
Flesh-Cobbled Ripper,32413,0,0,0
Flesh-eating Insect,7470,5990,513,0
Flesh-eating Insect (1),7470,5990,513,0
Flesh-eating Insect (2),7470,5990,513,0
Flesh-eating Insect (3),7470,5990,513,0
Flesh-Shaper Arnauld,35898,0,0,0
Flesh-Shaper Arnauld,35898,0,0,0
Fleshbeast,18886,0,0,0
Fleshbeast Trap,17519,11686,0,0
Flesheating Ghoul,829,0,0,0
Flesheating Ghoul (1),829,0,0,0
Fleshfiend,19540,0,0,0
Fleshflayer Ghoul,414,0,0,0
Fleshrender,1062,0,0,0
Fleshripper,2305,0,0,0
Flickin Gearspanner,28761,0,0,0
Flightmaster Krill Bitterhue,16365,0,0,0
Flik,14589,0,0,0
Flik's Frog,14936,0,0,0
Flinn,31123,0,0,0
Flint Ironstag,7865,0,0,0
Flint Oremantle,28739,0,0,0
Flint Oremantle,28739,0,0,0
Flint Oremantle,28739,0,0,0
Flint Oremantle,28739,0,0,0
Flint Oremantle,28739,0,0,0
Flint Shadowmore,5908,0,0,0
Flintlocke's Cannon,3127,0,0,0
Flintlocke's Seaplane,36753,0,0,0
Flintlocke's Seaplane,26556,0,0,0
Flintlocke's Seaplane,26556,17188,0,0
Flizzy Coilspanner,31348,0,0,0
Floating Skull,7907,21342,0,0
Floaty Flavor Eye,2421,0,0,0
Flok,1652,0,0,0
Flood Elemental,4907,0,0,0
Floon,18012,0,0,0
Flooz,29269,0,0,0
Flora,16633,0,0,0
Flora Silverwind,4488,0,0,0
Florawing Hive Queen,37906,0,0,0
Florawing Hive Queen (1),37906,0,0,0
Florawing Needler,37861,0,0,0
Florawing Needler,37860,0,0,0
Florawing Needler,37859,0,0,0
Florawing Needler,37858,0,0,0
Flourishing Protector,29238,0,0,0
Flourishing Protector,29238,0,0,0
Flower Shower,11686,0,0,0
Floyd Pinkus,16320,0,0,0
Fluffy,328,0,0,0
Fluorescent Green Mechanostrider,9475,0,0,0
Flux Animator,35168,0,0,0
Flux Animator (1),35168,0,0,0
Flying Big Love Rocket,30989,0,0,0
Flying Black Qiraji Battle Tank,18724,0,0,0
Flying Blue Drake,15946,0,0,0
Flying Bomber,26556,0,0,0
Flying Bomber,26556,0,0,0
Flying Bomber,26556,0,0,0
Flying Broom,21939,0,0,0
Flying Carpet,28082,0,0,0
Flying Carpet,28082,0,0,0
Flying Disc Prototype,24977,0,0,0
Flying Fiend,25625,0,0,0
Flying Fiend,25753,0,0,0
Flying Machine,22719,0,0,0
Flying Machine Taxi,22601,0,0,0
Flying Machine Vehicle,22601,0,0,0
Flying Mounted Reindeer,22724,0,0,0
Flying Raging Soul,11686,0,0,0
Flying Raging Soul (1),11686,0,0,0
Flying Voidwalker,16634,0,0,0
Flynn Dunwald,36362,0,0,0
Flynn Dunwald,36362,0,0,0
Flynn Dunwald,36362,0,0,0
Flynn Dunwald,34926,0,0,0
Flynn Dunwald,34926,0,0,0
Flynn Firebrew,22449,0,0,0
Foaming Sea Elemental,5562,0,0,0
Fobeed,11573,0,0,0
Focus Fire,16946,1126,0,0
Focus Fire (1),16946,1126,0,0
Focus Wizard,24059,24060,24062,24061
Focused Eyebeam,11686,0,0,0
Focused Eyebeam (1),11686,1126,0,0
Focused Eyebeam Right,11686,0,0,0
Focused Eyebeam Right (1),11686,1126,0,0
Focused Laser,11686,1126,0,0
Focused Laser,11686,0,0,0
Foe Reaper 4000,548,0,0,0
Foe Reaper 5000,35606,0,0,0
Foe Reaper 5000,29155,0,0,0
Foe Reaper 5000 (1),35606,0,0,0
Fog of Time,11686,0,0,0
Foggy MacKreel,1668,0,0,0
Follow That Cat - Trigger,4449,4449,4449,4449
Fono,28807,0,0,0
Food Holder,11686,0,0,0
Foolhardy Adventurer,28574,0,0,0
Foot Seat,16480,21342,0,0
Footbomb Uniform,31484,0,0,0
Foothill Stalker,1056,0,0,0
Footman Chuck,23031,0,0,0
Footman George,23031,0,0,0
Footman Hordum,25936,0,0,0
Footman James,27111,0,0,0
Footman Maxwell,27112,0,0,0
Footman Mitch,23031,0,0,0
Footman Rob,23031,0,0,0
Forba Slabchisel,32307,0,0,0
Forba Slabchisel,32307,0,0,0
Force Commander Danath Trollbane,16362,0,0,0
Force Commander Valen,32356,0,0,0
Force of Destruction,39345,0,0,0
Force of Earth,26693,0,0,0
Force of Earth (1),26693,0,0,0
Force of Nature,1923,0,0,0
Force-Commander Gorax,18686,0,0,0
Force-Commander Steeljaw,23120,0,0,0
Fordragon Armored Gryphon,24688,0,0,0
Fordragon Battle Mage,24365,24552,24553,24554
Fordragon Battle Steed,14582,14338,14583,14337
Fordragon Carpenter,310,0,0,0
Fordragon Footman,24361,24541,24543,24542
Fordragon Gryphon Rider,24732,24738,24739,24740
Fordragon High Priest,24965,24966,0,0
Fordragon Knight,24539,24538,24362,24540
Fordragon Lumberjack,89,0,0,0
Fordragon Marksman,24967,24968,0,0
Fordragon Mason,24695,0,0,0
Fordragon Medic,3943,0,0,0
Fordragon Peasant,310,0,0,0
Fordragon Sentinel,24363,24546,24547,24548
Fordragon Stallion,2402,2405,2408,2410
Fordragon Stormtrooper,24543,24361,24539,7859
Foreman Balsoth,28356,0,0,0
Foreman Balsoth (Phase 2),28356,0,0,0
Foreman Biggums,16383,0,0,0
Foreman Bonds,3635,0,0,0
Foreman Colbey,22043,0,0,0
Foreman Cozzle,7207,0,0,0
Foreman Dampwick,29471,0,0,0
Foreman Dampwick,29913,0,0,0
Foreman Dampwick,29913,0,0,0
Foreman Dampwick,29913,0,0,0
Foreman Dampwick,29471,0,0,0
Foreman Dunaer,18321,0,0,0
Foreman Fisk,29598,0,0,0
Foreman Franklin,31091,0,0,0
Foreman Glibbs,33016,0,0,0
Foreman Grills,4593,0,0,0
Foreman Jerris,10340,0,0,0
Foreman Jinx,29291,0,0,0
Foreman Kaleiki,24438,0,0,0
Foreman Kaleiki,24438,0,0,0
Foreman Marcrid,10354,0,0,0
Foreman Miles McMoody,21716,0,0,0
Foreman Milos,35790,0,0,0
Foreman Mortuus,23048,0,0,0
Foreman Oslow,1748,0,0,0
Foreman Oslow,1748,0,0,0
Foreman Pernic,37998,0,0,0
Foreman Pikwik,37375,0,0,0
Foreman Razelcraz,16468,0,0,0
Foreman Rigger,4600,0,0,0
Foreman Sharpsneer,543,0,0,0
Foreman Silixiz,7056,0,0,0
Foreman Stonebrow,1569,0,0,0
Foreman Sundown,19578,0,0,0
Foreman Swindlegrin,1269,0,0,0
Foreman Thaldrin,29178,0,0,0
Foreman Thazz'ril,12089,0,0,0
Foreman Thistlenettle,10628,0,0,0
Foreman Tionn,21256,0,0,0
Foreman Wellson,35208,0,0,35208
Foreman Wick,25522,0,0,0
Forest Creeper,11140,0,0,0
Forest Creeper,1989,0,0,0
Forest Ettin,33949,0,0,0
Forest Frog,6295,901,0,901
Forest Lurker,827,0,0,0
Forest Moth,36944,36952,36956,36957
Forest Ooze,1306,0,0,0
Forest Owl,10830,0,0,0
Forest Owl,10830,0,0,0
Forest Scorpion,20015,15470,36616,15471
Forest Song Digsite,328,0,0,0
Forest Song Peacekeeper,37421,37422,37423,0
Forest Spider,382,0,0,0
Forest Spiderling,2536,9829,1160,14952
Forest Spirit,1825,0,0,0
Forest Stalker,30255,0,0,0
Forest Stalker,366,0,0,0
Forest Strider,20375,0,0,0
Forest Swarmer,28727,19030,28729,8149
Forest Swarmer (1),28727,19030,28729,8149
Forest Troll Berserker,167,0,0,0
Forest Wisp,12432,0,0,0
Forestière funeste Moémie,27016,0,0,0
Foreststrider,178,0,0,0
Foreststrider Fledgling,1042,0,0,0
Forge Camp Legionnaire,18832,0,0,0
Forge Camp Patroller,5048,0,0,0
Forge Camp: Fear Quest Credit,17612,0,0,0
Forge Camp: Hate - Event Generator,11686,0,0,0
Forge Camp: Hate Quest Credit,17612,0,0,0
Forge Construct,28471,0,0,0
Forge Construct (1),28471,0,0,0
Forge Fire,19725,20367,0,0
Forge Fire (1),19725,20367,0,0
Forge Hound,19679,0,0,0
Forge Target,20570,27823,0,0
Forged Iron Dwarf,25754,0,0,0
Forged Iron Dwarf (1),25754,0,0,0
Forged Iron Trogg,6530,0,0,0
Forged Iron Trogg (1),6530,0,0,0
Forgemaster Damrath,25794,0,0,0
Forgemaster Garfrost,30843,0,0,0
Forgemaster Garfrost (1),30843,0,0,0
Forgemaster Morug,19899,0,0,0
Forgemaster Putridus Invisible Stalker,1126,11686,0,0
Forgemaster Pyrendius,13030,0,0,0
Forgemaster Throngus,33429,0,0,0
Forgemaster Throngus,33429,0,0,0
Forgemaster Throngus (1),33429,0,0,0
Forgosh,19874,0,0,0
Forgotten Captain,24424,24429,0,0
Forgotten Depths Acolyte,25267,0,0,0
Forgotten Depths Ambusher,25729,0,0,0
Forgotten Depths Dummy,22712,17200,0,0
Forgotten Depths High Priest,26852,0,0,0
Forgotten Depths High Priest,26852,0,0,0
Forgotten Depths High Priest,26852,0,0,0
Forgotten Depths Proxy,22712,17200,0,0
Forgotten Depths Slayer,26945,0,0,0
Forgotten Depths Slayer,26945,25729,0,0
Forgotten Depths Slayer,26945,25729,0,0
Forgotten Depths Slayer,26945,25729,0,0
Forgotten Depths Underking,23883,0,0,0
Forgotten Depths Underking,23883,0,0,0
Forgotten Depths Underking,23883,0,0,0
Forgotten Footman,24431,0,0,0
Forgotten Ghoul,137,0,0,0
Forgotten Gryphon,24447,0,0,0
Forgotten Knight,24426,0,0,0
Forgotten Knight Quest Credit,11686,0,0,0
Forgotten One,27849,0,0,0
Forgotten One,28007,0,0,0
Forgotten One (1),28007,0,0,0
Forgotten One (1),27849,0,0,0
Forgotten One (2),27849,0,0,0
Forgotten One (3),27849,0,0,0
Forgotten Peasant,24432,24433,24444,24445
Forgotten Peasant Quest Credit,11686,0,0,0
Forgotten Rifleman,24427,24430,0,0
Forgotten Rifleman Quest Credit,11686,0,0,0
Forgotten Servant,559,0,0,0
Forgotten Shore Event Trigger,16480,0,0,0
Forgotten Soul,24653,0,0,0
Forgus,21283,0,0,0
Foriel Broadleaf,13409,0,0,0
Forlorn Dryad,17340,0,0,0
Forlorn Highborne,5430,0,0,0
Forlorn Soul,20089,0,0,0
Forlorn Spire Assault Credit,16480,21342,0,0
Forlorn Spirit,146,0,0,0
Forlorn Spirit,915,0,0,0
Formation Marker,1126,11686,0,0
Forsaken Apothecary,34073,34074,34075,34076
Forsaken Apothecary,34073,34074,34075,34076
Forsaken Apothecary,34073,34074,34075,34076
Forsaken Assassin,30055,30054,30056,30057
Forsaken Assassin,4153,4154,0,0
Forsaken Bat,1566,0,0,0
Forsaken Bat,1566,0,0,0
Forsaken Blacksmith,15176,15177,15178,15179
Forsaken Blight Spreader,23884,0,0,0
Forsaken Blightcaller,23878,0,0,0
Forsaken Blightspreader,25320,25322,25323,25324
Forsaken Blightspreader,25320,25322,25323,25324
Forsaken Blightspreader,25320,25322,25323,25324
Forsaken Blightspreader,25320,25322,25323,25324
Forsaken Blightspreader,16176,30054,30056,30057
Forsaken Blightspreader,25320,25322,25323,25324
Forsaken Blightspreader (Red),25321,0,0,0
Forsaken Bodyguard,4037,4038,0,0
Forsaken Castaway,21956,21957,21958,0
Forsaken Catapult,23884,0,0,0
Forsaken Catapult,23884,0,0,0
Forsaken Catapult,23884,0,0,0
Forsaken Catapult,23884,0,0,0
Forsaken Catapult,23884,0,0,0
Forsaken Catapult,23884,0,0,0
Forsaken Catapult,23884,0,0,0
Forsaken Catapult,23884,0,0,0
Forsaken Catapult,23884,0,0,0
Forsaken Catapult,34663,0,0,0
Forsaken Catapult,23884,0,0,0
Forsaken Cavalry,30290,30291,30292,0
Forsaken Chemist,23877,23937,23938,23939
Forsaken Chemistry Set 02 [Wrath Gate Both] (UC),27619,0,0,0
Forsaken Chemistry Set [Wrath Gate Both] (UC),27620,0,0,0
Forsaken Coliseum Spectator,29651,29652,0,0
Forsaken Combatant Credit,30055,30054,30056,30057
Forsaken Commoner,19188,19187,0,0
Forsaken Corpse,21748,21751,21749,21750
Forsaken Courier,4041,0,0,0
Forsaken Crossbowman,21996,21993,21994,21995
Forsaken Crossbowman,30290,30291,30292,0
Forsaken Dark Stalker,4135,4136,0,0
Forsaken Deckhand,21956,21957,21958,0
Forsaken Delegation Deathguard,7117,7118,14369,14370
Forsaken Engineer,30055,30054,30056,30057
Forsaken Farmer,15152,15154,15153,15155
Forsaken Fire Small [Wrath Gate Both] (UC),22712,27626,0,0
Forsaken Fire [Wrath Gate Both] (UC),19963,27625,0,0
Forsaken Flesh Ripper,10699,0,0,0
Forsaken Flesh Ripper,10699,0,0,0
Forsaken Footsoldier,30290,30291,30292,0
Forsaken Footsoldier,30290,30291,30292,0
Forsaken Front Camera,15435,0,0,0
Forsaken General,30714,0,0,0
Forsaken Herbalist,4129,4130,0,0
Forsaken Horse,10671,10672,10670,0
Forsaken Infantry,30290,30291,30292,0
Forsaken Infantry,30290,30291,30292,0
Forsaken Infantry,30290,30291,30292,0
Forsaken Infiltrator,4151,4152,0,0
Forsaken Intruder,4133,4134,0,0
Forsaken Invader,30055,30054,30056,30057
Forsaken Invader,22532,22533,22534,0
Forsaken Invader,22532,22533,22534,0
Forsaken Invader,22532,22533,22534,0
Forsaken Invader,22532,22533,22534,0
Forsaken Invader,30055,30054,30056,30057
Forsaken Invader,30055,30054,30056,30057
Forsaken Looter,29067,29068,0,0
Forsaken Lumberjack,15206,15208,15207,15209
Forsaken Machinist,30055,30054,30056,30057
Forsaken Mage,34675,0,0,0
Forsaken Mage,34675,0,0,0
Forsaken Mage,34675,0,0,0
Forsaken Mage,18455,18454,0,0
Forsaken Miner,15187,15188,15189,15190
Forsaken Outrider,33870,33871,33872,33873
Forsaken Plaguebearer,16176,30054,30056,30057
Forsaken Plaguebringer,22532,22533,22534,0
Forsaken Plaguesmith,16176,0,0,0
Forsaken Prankster,29265,0,0,0
Forsaken Prisoner,15152,4157,15178,0
Forsaken Prisoner,4158,0,0,0
Forsaken Raider,4157,4158,0,0
Forsaken Reaver,30055,30054,30056,30057
Forsaken Recruit,21748,21751,21749,21750
Forsaken Refugee,27588,27589,27590,27591
Forsaken Refugee,27596,27597,27598,27599
Forsaken Royal Dreadguard,13855,13856,0,0
Forsaken Royal Dreadguard,13855,13856,0,0
Forsaken Royal Dreadguard,13855,13856,0,0
Forsaken Royal Dreadguard,13855,13856,0,0
Forsaken Sailor,21956,21957,21958,0
Forsaken Scientist (Blight Backpack),16176,0,0,0
Forsaken Scout,4157,4158,0,0
Forsaken Scout,30055,30054,30056,30057
Forsaken Seeker[UNUSED],4127,4128,0,0
Forsaken Sergeant,30290,30291,30292,0
Forsaken Sharpshooter,34378,34379,0,0
Forsaken Slavedriver,30720,0,0,0
Forsaken Soldier,30290,30291,30292,0
Forsaken Spy,22247,0,0,0
Forsaken Stablehand,15196,15197,15198,15199
Forsaken Survivor,30055,30054,30056,30057
Forsaken Trooper,34050,34051,34052,34053
Forsaken Trooper,34054,34055,34056,34057
Forsaken Trooper,34050,34051,34052,34053
Forsaken Trooper,34054,34055,34056,34057
Forsaken Trooper,33986,33987,33988,33989
Forsaken Trooper,33986,33987,33988,33989
Forsaken Trooper,33986,33987,33988,33989
Forsaken Trooper,33986,33987,33988,33989
Forsaken Trooper,33991,33992,33993,33994
Forsaken Trooper,33991,33992,33993,33994
Forsaken Trooper,33991,33992,33993,33994
Forsaken Trooper,33991,33992,33993,33994
Forsaken Trooper,34231,0,0,0
Forsaken Trooper,34232,0,0,0
Forsaken Trooper,34233,0,0,0
Forsaken Trooper,34234,0,0,0
Forsaken Trooper,34235,0,0,0
Forsaken Trooper,34236,0,0,0
Forsaken Trooper,34237,0,0,0
Forsaken Trooper,34231,34232,34233,0
Forsaken Trooper,34234,0,0,0
Forsaken Trooper,34235,0,0,0
Forsaken Trooper,34236,0,0,0
Forsaken Trooper,34237,0,0,0
Forsaken Trooper,34050,34051,34052,34053
Forsaken Trooper,34054,34055,34056,34057
Forsaken Trooper,34050,34051,34052,34053
Forsaken Trooper,34054,34055,34056,34057
Forsaken Trooper,33986,33987,33988,33989
Forsaken Trooper,33991,33992,33993,33994
Forsaken Trooper,33986,33987,33988,33989
Forsaken Trooper,33986,33987,33988,33989
Forsaken Trooper,33986,33987,33988,33989
Forsaken Trooper,33991,33992,33993,33994
Forsaken Trooper,33991,33992,33993,33994
Forsaken Trooper,33991,33992,33993,33994
Forsaken Trooper,34050,34051,34052,34053
Forsaken Trooper,34054,34055,34056,34057
Forsaken Trooper,33986,33987,33988,33989
Forsaken Vanguard,34378,34379,34380,34381
Forsaken Vanguard,34378,34379,34380,34381
Forsaken Vanguard,34378,34379,34380,34381
Forsaken Vanguard,34659,34660,34661,34662
Forsaken Vanguard,34378,34379,34380,34381
Forsaken Vanguard,34378,34379,34380,34381
Forsaken Warhorse,29252,0,0,0
Forsaken Warhorse,29257,0,0,0
Forsaken Warhorse,29257,0,0,0
Forsaken Warhorse,29257,0,0,0
Fort Livingston Adventurer,38167,38168,38169,0
Fort Livingston Guard,37519,37520,37521,0
Fort Livingston Guard,37519,37520,37521,0
Forward Commander Kingston,18739,0,0,0
Forward Commander Onslaught,34401,0,0,0
Forward Commander Onslaught,34401,0,0,0
Forward Commander To'arch,18694,0,0,0
Fossilized Hatchling,34413,0,0,0
Fossilized Raptor,34410,0,0,0
Fosura Clearsun,36755,0,0,0
Foul Purge,21070,0,0,0
Foulbelly,11551,0,0,0
Fouled Water Spirit,17045,0,0,0
Foulmane,519,0,0,0
Foulmaw Hydra,62,0,0,0
Foulweald Den Watcher,6819,0,0,0
Foulweald Pathfinder,937,0,0,0
Foulweald Pathfinder,937,0,0,0
Foulweald Shaman,6822,0,0,0
Foulweald Spawner,169,0,0,0
Foulweald Totemic,6821,0,0,0
Foulweald Totemic,6821,0,0,0
Foulweald Totemic,6821,0,0,0
Foulweald Totemic,6821,0,0,0
Foulweald Totemic,6821,0,0,0
Foulweald Totemic,6821,0,0,0
Foulweald Ursa,1996,0,0,0
Foulweald Ursa,1996,0,0,0
Foulweald Ursa,1996,0,0,0
Foulweald Ursa,1996,0,0,0
Foulweald Ursa,1996,0,0,0
Foulweald Ursa,1996,0,0,0
Foulweald Warrior,6824,0,0,0
Foulweald Warrior,6824,0,0,0
Foulweald Warrior,6824,0,0,0
Foulweald Warrior,6824,0,0,0
Foulweald Warrior,6824,0,0,0
Foulweald Warrior,6824,0,0,0
Foulweald Warrior,6824,0,0,0
Fountain of Light,27769,0,0,0
Fountain of Light,27769,0,0,0
Fountain of Light (1),27769,0,0,0
Four Horsemen Tap List,22712,11686,0,0
Fourth And Goal Target,31296,0,0,0
Fourth Summoning Altar,16480,19595,0,0
Fox,30301,30302,0,0
Fox,30301,30302,0,0
Fox Kit,33217,0,0,0
Foxy,855,0,0,0
Fozruk,1918,0,0,0
Fradd Swiftgear,3482,0,0,0
Fradd Swiftgear,3482,0,0,0
Fraggar Thundermantle,7001,0,0,0
Fraggar Thundermantle,7001,0,0,0
Fragment of Rhyolith,35201,0,0,0
Fragment of Rhyolith (1),35201,0,0,0
Fragment of Rhyolith (2),35201,0,0,0
Fragment of Rhyolith (3),35201,0,0,0
Frahun Shadewhisper,1725,0,0,0
Frail Construct,11402,0,0,0
Frail Skeleton,7550,0,0,0
Frak Frazzcrank,14775,0,0,0
Framnali,12936,0,0,0
Frances Lin,232,0,0,0
Francis Eaton,29395,0,0,0
Francis Eliot,2627,0,0,0
Francis Greene,3263,0,0,0
Francis Morcott,36483,0,0,0
Franclorn Forgewright,8698,0,0,0
Franclorn's Spirit,8710,0,0,0
Frang,1880,0,0,0
Frank Carlson,33627,0,0,0
Frank Natale,37078,0,0,0
Frankal Invisible Trigger,16480,0,0,0
Frankal Stonebridge,15310,0,0,0
Frankie Gearslipper,29473,0,0,0
Frankie Gearslipper,29473,0,0,0
Frankie Goodtimes,35556,0,0,0
Franklin Brinklestein,33632,0,0,0
Franklin Hamar,3376,0,0,0
Franklin Jenner,18249,0,0,0
Franklin Lloyd,10572,0,0,0
Franklin the Friendly,14586,0,0,0
Franny Mertz,36797,0,0,0
Frantic Geist,37302,0,0,0
Frantic Geist,37302,0,0,0
Frantic Geist (1),37302,0,0,0
Fras Siabi,10475,0,0,0
Fras Siabi,27110,0,0,0
Frast Dokner,3426,0,0,0
Frax Bucketdrop,1233,0,0,0
Frayer,19030,0,0,0
Frayer (1),19030,0,0,0
Frayer (Arcane),19031,0,0,0
Frayer (Fire),16346,0,0,0
Frayer (Frost),19033,0,0,0
Frayer (Shadow),19034,0,0,0
Frayer Protector,17009,0,0,0
Frayer Protector (1),17009,0,0,0
Frayer Wildling,17714,0,0,0
Frayer Wildling (1),17714,0,0,0
Frayfeather Hippogryph,3210,0,0,0
Frayfeather Patriarch,6756,0,0,0
Frayfeather Skystormer,3211,0,0,0
Frayfeather Stagwing,10890,0,0,0
Frazzik,33590,0,0,0
Frazzle Geargrinder,27704,0,0,0
Frazzlecraz Floozy,31390,31392,0,0
Frazzlecraz Foreman,31383,31384,0,0
Frazzlecraz Miner,31385,31386,31387,31388
Fre'an,14192,0,0,0
Fredében Huimaykwa,37844,0,0,0
Frederic Burrhus,24153,0,0,0
Frederick Calston,34572,0,0,0
Frederick Stover,1427,0,0,0
Frederick Zyda,37070,0,0,0
Freed Alliance Scout,24302,0,0,0
Freed Alliance Slave,30669,30668,30670,30671
Freed Alliance Slave,30662,30663,0,0
Freed Alliance Slave,30667,30666,30665,30664
Freed Alliance Slave (1),30667,30666,30665,30664
Freed Alliance Slave (1),30669,30668,30670,30671
Freed Alliance Slave (1),30662,30663,0,0
Freed Blue Whelpling,9994,0,0,0
Freed Bronze Whelpling,14720,0,0,0
Freed Crusader,26838,26845,26842,26841
Freed Druid of the Talon,1192,0,0,0
Freed Emberstone Villager,30717,30718,30719,0
Freed Giant,23828,0,0,0
Freed Green Whelpling,694,0,0,0
Freed Greengill Slave,369,0,0,0
Freed Horde Slave,30673,30674,30675,30676
Freed Horde Slave,30681,30682,0,0
Freed Horde Slave,30680,30679,30678,30677
Freed Horde Slave (1),30680,30679,30678,30677
Freed Horde Slave (1),30673,30674,30675,30676
Freed Horde Slave (1),30681,30682,0,0
Freed Inferno,35681,0,0,0
Freed Proto-Drake,26710,0,0,0
Freed Red Whelpling,956,0,0,0
Freed Remnant,27037,0,0,0
Freed Sha'tar Warrior,20752,20755,0,20753
Freed Soul,1825,0,0,0
Freed Tempest,35043,0,0,0
Freed Waterspout,35044,0,0,0
Freed Winterhoof Longrunner,22186,22187,22189,22188
Freewheelin' Juntz Fitztittle,33333,0,0,0
Freewind Brave,34375,0,0,0
Freewind Brave,34376,0,0,0
Freewind Brave,7115,7116,10152,10153
Freewind Brave,34375,0,0,0
Freewind Post Refugee,31797,31799,31798,31800
Freewind Warrior,31636,31637,31639,31641
Freezing Ghoul,10487,0,0,0
Freezing Goblin,29722,29727,0,0
Freezing Spirit,146,0,0,0
Freezing Surger,23504,0,0,0
Freezing Vapor,36455,0,0,0
Freezing Vapor (1),36455,0,0,0
Freezya,30233,36557,0,0
Freezya,30001,0,0,0
Freezya,29999,30123,30043,30127
Freezya,29999,30123,30043,30127
Freezya Seeds,30233,36401,0,0
Freillania,2228,0,0,0
Freja Nightwing,1726,0,0,0
Freka Bloodaxe,28694,0,0,0
Frell "Fixit" Fastbolt,33101,0,0,0
Frell "Fixit" Fastbolt,33158,0,0,0
Fremal Doohickey,3469,0,0,0
Frenk,37010,0,0,0
Frenzied Abomination,16206,0,0,0
Frenzied Abomination (1),16206,0,0,0
Frenzied Abomination (2),16206,0,0,0
Frenzied Abomination (3),16206,0,0,0
Frenzied Bat,7896,0,0,0
Frenzied Bat (1),7896,0,0,0
Frenzied Black Drake,6374,0,0,0
Frenzied Bloodseeker Bat,14562,0,3956,0
Frenzied Crocolisk,33451,33453,33450,33452
Frenzied Crocolisk,33451,33453,33450,33452
Frenzied Crocolisk (1),33451,33453,33450,33452
Frenzied Crocolisk (1),33451,33453,33450,33452
Frenzied Cyclone,5187,11686,0,0
Frenzied Cyclone Transform,5187,0,0,0
Frenzied Defender,202,203,0,0
Frenzied Gargoyle,17311,0,0,0
Frenzied Geist,25402,0,0,0
Frenzied Geist (1),25402,0,0,0
Frenzied Ghoul,1065,0,0,0
Frenzied Orca,21975,0,0,0
Frenzied Orca,21975,0,0,0
Frenzied Plaguehound,9022,0,0,0
Frenzied Pterrordax,8412,0,0,0
Frenzied Reef Shark,31817,0,0,0
Frenzied Stalker,36770,36771,36772,0
Frenzied Thresher,32189,0,0,0
Frenzied Worgen,26327,0,0,0
Frenzied Worgen,26789,0,0,0
Frenzied Worgen (1),26327,0,0,0
Frenzy,17170,0,0,0
Frenzyheart Berserker,25380,25638,0,0
Frenzyheart Berserker,25380,25638,0,0
Frenzyheart Hunter,25387,0,0,0
Frenzyheart Pup,25382,25383,25384,0
Frenzyheart Ravager,25376,25639,0,0
Frenzyheart Scavenger,25385,0,0,0
Frenzyheart Spearbearer,25640,25379,0,0
Frenzyheart Tracker,25385,0,0,0
Frenzyheart Visitor,25938,25937,25385,25381
Fresh Fish Rack Trigger,16480,0,0,0
Freshwater Eel,32124,0,0,0
Freya,28777,0,0,0
Freya,28777,0,0,0
Freya,28839,0,0,0
Freya (1),28777,0,0,0
